== PARAMETER ==
movement:Lacet
angle:70.0
speed:25
nb_return:5
wait_time:30
== COMMENTS ==
SALUT dOUBLE GUI
JU-JU-JUL
== VALUES ==
yaw pitch roll
0.2143715 -0.6779785 -0.2627563
-0.09698486 -0.6487427 -0.2259216
-0.3677063 -0.6073608 -0.2108765
-0.6444397 -0.5577698 -0.1594238
-0.9949646 -0.508606 -0.0899353
-2.026062 -0.45401 0.01964732
-2.827667 -0.467804 0.1078321
-3.809692 -0.4017029 0.243053
-5.141479 -0.3753357 0.431944
-5.67923 -0.3225708 0.554871
-5.744354 -0.1934204 0.523829
-6.05307 -0.1630249 0.6915333
-6.411835 -0.2182312 0.7836752
-6.586395 -0.2243958 0.8210163
-6.876404 -0.2285156 0.8980559
-7.201874 -0.2354431 0.9284537
-7.53479 -0.3389587 0.9259888
-7.967926 -0.3283691 0.9850722
-8.400146 -0.3326416 1.013309
-8.944763 -0.2838135 1.012774
-9.396576 -0.2647095 1.014548
-9.859161 -0.1824341 0.9968368
-10.34702 -0.2597961 1.00658
-10.83835 -0.2306519 1.042836
-11.35657 -0.2153931 1.071655
-11.8255 -0.1907043 1.063322
-12.28775 -0.2000122 1.087071
-12.73962 -0.1770935 1.12211
-13.1665 -0.253418 1.192854
-13.61301 -0.3483887 1.28528
-14.10651 -0.3295288 1.341366
-14.53455 -0.3101196 1.298435
-14.92197 -0.4413452 1.287498
-15.35214 -0.5073547 1.375224
-15.80173 -0.4636536 1.492874
-16.25415 -0.4725647 1.53548
-16.77441 -0.5282898 1.554219
-17.36475 -0.4861755 1.581185
-18.01837 -0.4187927 1.567587
-18.69678 -0.3465881 1.601589
-19.34344 -0.5045776 1.666689
-20.05838 -0.6648865 1.712735
-20.83679 -0.7130737 1.740905
-21.50177 -0.7180786 1.741553
-22.06226 -0.8168945 1.724894
-22.58994 -0.7667542 1.674775
-23.07294 -0.743103 1.664189
-23.50858 -0.8352661 1.67847
-23.86475 -0.8793945 1.669579
-24.17313 -0.9194641 1.70296
-24.50336 -0.9043274 1.835725
-24.84109 -0.9358215 2.021989
-25.09552 -0.9771423 2.062545
-25.34814 -1.035217 2.096712
-25.71826 -1.127289 2.125921
-26.12979 -1.234436 2.215488
-26.56555 -1.269226 2.306792
-27.03445 -1.310547 2.36384
-27.52335 -1.300079 2.364223
-28.08673 -1.365845 2.433394
-28.80209 -1.465729 2.540481
-29.49069 -1.500275 2.568297
-30.14081 -1.559082 2.593124
-30.8606 -1.631439 2.6141
-31.51834 -1.62326 2.654008
-32.09897 -1.615662 2.700974
-32.5481 -1.608459 2.690386
-32.91492 -1.620911 2.699383
-33.2283 -1.69339 2.757451
-33.61722 -1.75473 2.869076
-34.01959 -1.825348 2.93981
-34.36136 -1.850433 2.96756
-34.68106 -1.868011 2.992787
-34.90189 -1.850677 3.010113
-35.05215 -1.855042 3.021615
-35.27835 -1.875366 3.019329
-35.43112 -1.870728 3.02336
-35.65634 -1.863495 3.033608
-36.26688 -1.879181 3.186757
-36.83032 -1.913422 3.263818
-37.37506 -1.916016 3.295902
-38.10013 -1.954681 3.322377
-38.98715 -1.967255 3.408962
-39.79254 -1.980499 3.43056
-40.4007 -1.961273 3.367973
-40.84506 -1.985992 3.233256
-41.18747 -1.9198 3.183448
-41.51706 -1.802277 3.222777
-41.67712 -1.729156 3.197816
-41.7225 -1.757233 3.203808
-41.76993 -1.756165 3.205126
-41.78415 -1.761597 3.14616
-41.82333 -1.747498 3.092002
-41.87506 -1.722473 3.037247
-41.88925 -1.706543 2.955647
-41.89001 -1.708313 2.900234
-42.01416 -1.707794 2.879633
-42.3006 -1.664185 2.875045
-42.57974 -1.591125 2.814542
-42.88998 -1.508118 2.730484
-43.22787 -1.382294 2.665635
-43.61874 -1.348785 2.604392
-44.06967 -1.295013 2.562653
-44.72913 -1.311615 2.610444
-45.45578 -1.339508 2.640582
-46.2027 -1.417206 2.666014
-46.89651 -1.343323 2.674441
-47.48151 -1.270782 2.647427
-47.90564 -1.220917 2.611968
-48.20291 -1.222137 2.622293
-48.16141 -1.221527 2.662902
-48.2103 -1.190155 2.673851
-48.08194 -1.177734 2.620515
-47.74136 -1.169556 2.580077
-47.33826 -1.063446 2.627359
-46.7774 -0.9730225 2.651516
-45.46774 -0.5651245 2.8443
-44.60016 -0.1254578 2.929106
-44.53061 -0.1860046 2.887748
-44.21695 -0.05783081 2.888912
-44.0079 0.1652577 2.792188
-44.10135 0.1671113 2.741972
-44.12094 0.2039489 2.667784
-44.05743 0.3507795 2.573067
-44.04803 0.3708692 2.543931
-44.03372 0.3566664 2.516982
-44.00092 0.3602322 2.460455
-43.98074 0.3579245 2.398654
-43.95706 0.3280377 2.373312
-43.94644 0.2997894 2.366524
-43.94836 0.2574148 2.369154
-43.94571 0.2173835 2.372185
-43.96976 0.1487047 2.392972
-43.99716 0.09626153 2.43544
-44.01724 0.0490675 2.479875
-44.0376 0.003457463 2.548214
-44.09607 -0.07373047 2.636307
-44.14145 -0.104187 2.695048
-44.19156 -0.1671143 2.721737
-44.20279 -0.2362061 2.758749
-44.21204 -0.3417664 2.867914
-44.21765 -0.3386536 2.968385
-44.18649 -0.3205872 3.057507
-44.06381 -0.2867126 3.169562
-43.84155 -0.257782 3.239067
-43.29633 -0.03793335 3.329293
-42.66098 0.1370055 3.425894
-42.13141 0.07669312 3.466631
-41.65039 -0.1647339 3.658284
-41.09851 -0.1749573 3.811031
-40.23785 -0.2613831 3.812482
-39.61966 -0.07348633 3.621359
-39.25183 -0.3079529 3.551919
-38.53323 -0.6689758 3.732781
-37.99527 -0.3068542 3.523196
-37.58337 -0.1703491 3.382404
